review_id,application_id,decision,review_comment,review_date,reviewed_by
REV710455,APP81862712,Approved,"All documents verified, cleared for activation.",2025-07-23 12:26:47,James Barrett
REV150349,APP97337658,Approved,Approved after manual PAN check.,05/04/2026,Robin Coleman
REV966834,APP30922016,APPROVED,"KYC matches, no red flags.",2026-02-25 23:58:01,James Barrett
REV167499,APP92273432,APPROVED,"All documents verified, cleared for activation.",2026-04-25 01:24:02,Jose White
REV365482,APP42932786,approved,"All documents verified, cleared for activation.",07-06-2025,James Barrett
REV897573,APP82384198,Approved,Approved after manual PAN check.,04-15-2026,Alisha Duffy
REV211589,APP88926443,APPROVED,Approved after manual PAN check.,04-05-2026,Donna Long
REV868494,APP95472551,APPROVED,Approved after manual PAN check.,11/08/2025,Jose White
REV904417,APP70207377,APPROVED,"All documents verified, cleared for activation.",05-Jun-2025,Lance Mitchell MD
REV057537,APP40407549,APPROVED,,2026-06-16,Donna Long
REV611280,APP79080785,APPROVED,"KYC matches, no red flags.",2026-04-29,Donna Long
REV719903,APP92292796,Approved,"All documents verified, cleared for activation.",2025-02-02,Lance Mitchell MD
REV199470,APP26805535,Approved,Approved after manual PAN check.,16-Jul-2025,Grant Glass
REV979665,APP11313026,APPROVED,,2025-12-09,Lance Mitchell MD
REV104937,APP26308763,approved,,05-24-2025,Jose White
REV798026,APP10065917,approved,Approved after manual PAN check.,05-02-2026,Robin Coleman
REV993885,APP88694614,approved,Approved after manual PAN check.,17-Jan-2026,Grant Glass
REV566434,APP77685737,APPROVED,"KYC matches, no red flags.",11/02/2026,Jose White
REV373003,APP54542203,approved,"KYC matches, no red flags.",2025-01-27 15:17:45,Lance Mitchell MD
REV434587,APP19035368,approved,"All documents verified, cleared for activation.",2025-07-21 05:41:16,Grant Glass
REV362554,APP63529591,approved,"KYC matches, no red flags.",23-Sep-2025,James Barrett
REV721183,APP41393815,approved,"All documents verified, cleared for activation.",16-Jun-2026,Catherine James
REV646410,APP42907622,Approved,"KYC matches, no red flags.",2026-04-22,Donna Long
REV565848,APP26033081,approved,,2025-12-08 21:52:59,Jose White
REV111943,APP55915726,approved,"KYC matches, no red flags.",09-09-2025,Alisha Duffy
REV974943,APP59626159,Approved,"KYC matches, no red flags.",2025-07-30 23:30:19,Lance Mitchell MD
REV968719,APP64783723,Approved,Approved after manual PAN check.,29-Sep-2025,James Barrett
REV499978,APP74540334,APPROVED,,11-20-2025,Robin Coleman
REV650484,APP72068164,Approved,Approved after manual PAN check.,2026-03-06 20:10:48,Grant Glass
REV108367,APP61664618,approved,"KYC matches, no red flags.",2025-10-01,Grant Glass
REV794968,APP36645757,Approved,"All documents verified, cleared for activation.",24-Feb-2026,Lance Mitchell MD
REV598996,APP55350332,Approved,"All documents verified, cleared for activation.",02-17-2026,Alisha Duffy
REV455721,APP63342830,approved,"All documents verified, cleared for activation.",2025-01-09 19:18:17,Catherine James
REV381303,APP33957767,Approved,Approved after manual PAN check.,2025-04-11,Jose White
REV941796,APP75847391,APPROVED,"KYC matches, no red flags.",08/12/2025,Lance Mitchell MD
REV027903,APP29797722,Approved,Approved after manual PAN check.,2026-04-15 09:05:28,Alisha Duffy
REV845641,APP93684864,APPROVED,"KYC matches, no red flags.",2026-03-19,Alisha Duffy
REV264684,APP05854489,Approved,Approved after manual PAN check.,04-Apr-2025,Lance Mitchell MD
REV918771,APP76361598,APPROVED,"All documents verified, cleared for activation.",2025-09-28 23:31:12,Robin Coleman
REV211007,APP42984405,approved,"KYC matches, no red flags.",03-30-2026,James Barrett
REV276809,APP12192250,approved,Approved after manual PAN check.,18/06/2025,Grant Glass
REV099372,APP78270754,Approved,"All documents verified, cleared for activation.",29/01/2025,James Barrett
REV197149,APP07255051,approved,"All documents verified, cleared for activation.",06-17-2026,Jose White
REV053229,APP84269276,approved,"All documents verified, cleared for activation.",2026-05-31 04:35:32,Donna Long
REV808654,APP25879382,APPROVED,"All documents verified, cleared for activation.",26/02/2026,Donna Long
REV754603,APP98640053,approved,"KYC matches, no red flags.",08-Mar-2025,Robin Coleman
REV098955,APP27402122,APPROVED,"KYC matches, no red flags.",2025-06-12 08:35:06,Robin Coleman
REV939933,APP37894514,APPROVED,"All documents verified, cleared for activation.",2026-04-30,James Barrett
REV944507,APP38469955,Approved,"KYC matches, no red flags.",01-27-2025,Jose White
REV570584,APP16651834,approved,Approved after manual PAN check.,2026-02-17,Robin Coleman
REV680167,APP76775919,APPROVED,"KYC matches, no red flags.",03-19-2025,Robin Coleman
REV346281,APP50604636,APPROVED,"All documents verified, cleared for activation.",04-22-2026,Robin Coleman
REV305976,APP44006890,APPROVED,"KYC matches, no red flags.",2025-10-15,Lance Mitchell MD
REV745243,APP88105537,Approved,,2026-02-16,Catherine James
REV431223,APP21487238,approved,Approved after manual PAN check.,01-10-2026,Jose White
REV566442,APP79148960,approved,"All documents verified, cleared for activation.",28/01/2025,Jose White
REV135705,APP46940929,APPROVED,Approved after manual PAN check.,2026-02-20 18:26:07,Grant Glass
REV291571,APP29121815,Approved,"KYC matches, no red flags.",21-Oct-2025,Catherine James
