bank_id,application_id,account_number_masked,ifsc,bank_name,verification_status
BNK621378,APP81862712,XXXXXXXX1277,ABPL0714546,ICICI BANK,verified
BNK118339,APP97337658,XXXXXXXX2008,TMAO0696783,HDFC BANK,verified
BNK746364,APP30922016,XXXXXXXX7523,OYEQ0919994,state bank of india,Verified
BNK248833,APP92273432,XXXXXXXX9957,BFPW0028405,Kotak Mahindra Bank,verified
BNK703070,APP42932786,XXXXXXXX6292,CRHP0841893,axis bank,verified
BNK717339,APP82384198,XXXXXXXX4479,HEYI0117989,punjab national bank,verified
BNK190166,APP88926443,XXXXXXXX0057,DALV0138018,punjab national bank,verified
BNK020325,APP95472551,XXXXXXXX0832,KHQP0429718,SBI,verified
BNK548668,APP70207377,XXXXXXXX7452,ENSP0672041,S.B.I.,verified
BNK731725,APP40407549,XXXXXXXX8223,OKWV0274271,PNB,verified
BNK901822,APP79080785,XXXXXXXX5557,KSMB0299240,Punjab National Bank,verified
BNK231299,APP92292796,XXXXXXXX7894,CIHC0270703,icici bank,verified
BNK696474,APP26805535,XXXXXXXX2342,QIMA0955253,Punjab National Bank,Verified
BNK130210,APP11313026,XXXXXXXX9281,XKVP0979318,SBI,verified
BNK366188,APP26308763,XXXXXXXX1127,XUCT0647470,Punjab National Bank,verified
BNK287997,APP10065917,XXXXXXXX7456,KHIY0289894,State Bank of India,verified
BNK392800,APP88694614,XXXXXXXX1584,UGID0995670,Icici Bank Ltd,verified
BNK452385,APP77685737,XXXXXXXX4587,NEWD0093044,Icici Bank Ltd,verified
BNK700399,APP54542203,XXXXXXXX2304,MGZX0841535,Axis Bank,verified
BNK363136,APP19035368,XXXXXXXX8649,NWVD0523866,AXIS BANK,verified
BNK391854,APP63529591,XXXXXXXX2326,NHQU0509284,HDFC BANK,Verified
BNK659017,APP41393815,XXXXXXXX3198,PCIQ0594912,Kotak Mahindra,verified
BNK987310,APP42907622,XXXXXXXX4022,CINO0534890,Punjab National Bank,verified
