customer_id,pan_number,aadhaar_reference,kyc_status,verification_date
CUSFL10433218,JCTDX0669U,XXXX-XXXX-1326,verified,21/02/2026
CUSWV40265423,WDOLU6650F,XXXX-XXXX-1139,verified,2026-06-23
CUSFO95931034,HETYP2774V,XXXX-XXXX-8669,Verified,28/05/2025
CUSOC27648350,ZFHKO4345Y,XXXX-XXXX-6648,verified,20-Feb-2026
CUSOI88496965,EROSI0209M,XXXX-XXXX-8278,Verified,04-16-2026
CUSBK80184514,PVREE0228X,XXXX-XXXX-1154,Verified,2025-12-29 04:31:08
CUSPD09570154,OKDIK6203H,XXXX-XXXX-0121,Verified,2025-12-19
CUSCH38346578,CLKNT5899L,XXXX-XXXX-2815,verified,02-Dec-2025
CUSIU51834738,iflgq5197s,XXXX-XXXX-4551,Verified,20-Mar-2025
CUSCI06513338,JBFKM5085C,XXXX-XXXX-6934,verified,2026-05-23 08:05:01
CUSYQ77360260,JJZTN8406F,XXXX-XXXX-1032,VERIFIED,2026-06-03 13:13:10
CUSGF00978820,LKGYY5481T,XXXX-XXXX-5065,verified,01-Sep-2025
CUSQZ99854353,ZRXYG6243X,XXXX-XXXX-1047,Verified,2025-10-19
CUSIT25135427,UZBYV8003O,XXXX-XXXX-7880,verified,2025-11-18
CUSOB53487401,KMAUA0199W,XXXX-XXXX-7100,VERIFIED,2025-11-16 19:31:33
CUSCT80598262,CQGWG1848K,,VERIFIED,28/02/2026
CUSYC02563421,CGYDH9392W,XXXX-XXXX-6778,verified,2026-05-22 11:16:34
CUSLL58685014,ROGFW5750N,XXXX-XXXX-4178,VERIFIED,19-Mar-2026
CUSBE40608835,MMFST5664C,XXXX-XXXX-6693,Verified,2025-12-30
CUSAT66299468,OFVMQ8800T,XXXX-XXXX-8523,verified,15/03/2025
CUSBC95134332,OQIHH8874O,XXXX-XXXX-3087,VERIFIED,09/02/2026
CUSHD63287083,RKCMA3888P,XXXX-XXXX-7282,VERIFIED,02-19-2025
CUSET43487347,GZSMC3080U,XXXX-XXXX-8741,Verified,11/03/2025
CUSXL58760366,YVYXQ9634S,XXXX-XXXX-9916,Verified,16-Sep-2025
CUSUK34670656,YXOEQ0387F,XXXX-XXXX-6798,verified,2026-04-02 19:29:13
CUSRW46537556,WIBWZ4039N,XXXX-XXXX-4339,verified,09-Apr-2025
CUSND09232719,ZCFXZ7366P,XXXX-XXXX-9309,Verified,04-Mar-2025
CUSYK31931491,KQSFO4911W,XXXX-XXXX-4724,VERIFIED,05-Sep-2025
