customer_id,mobile_number,email,full_name,created_date,status
CUSRX57657289,98898 64565,blake356@example.net,Blake Cooley,2025-02-22,Activated
CUSCI08282192,+91-2932767330,patrick.crane@rediffmail.com,Patrick Crane,09-May-2026,ACTIVATED
CUSYW24130228,+91-5602492357,autumn709@gmail.com,Autumn Carpenter,25/07/2025,Activated
CUSKD83485643,+91-6527701562,joy.moon@example.net,Joy Moon,01-21-2026,activated
CUSMZ76604641,+91-5851268612,,Ann Dalton,03-15-2026,activated
CUSZH85468375,911831640744,collin_atkinson@outlook.com,Collin Atkinson,2025-06-27,APPROVED
CUSIU52830568,7809882209,donna353@rediffmail.com,Donna Kirby,2025-01-29 00:39:38,activated
CUSBP41087922,+91 32991-71483,desiree_frye@yahoo.com,Desiree Frye,03-Jan-2025,In Progress
CUSIX33629720,+91-4464376066,kerri.pollard@yahoo.com,Kerri Pollard,2025-02-02 14:24:23,In-Progress
CUSHG87199194,+91-6161507291,emma912@rediffmail.com,Emma Cisneros,17/01/2025,Activated
CUSSF04458047,910829215457,kiara492@outlook.com,kiara lopez,09/09/2025,pending review
CUSOU12680436,+91 16684-12327,brittney.blake@yahoo.com,Brittney Blake,2026-01-04 13:32:35,lead
CUSRP75917003,05674053625,stefanie.huynh@gmail.com,Stefanie Huynh,05-09-2026,activated
CUSUI37515463,3288003327,ray.moreno@gmail.com,Ray Moreno,01-Jan-2026,pending review
CUSHM71127816,1399017855,harry_durham@yahoo.com,Harry Durham,2026-05-24,activated
CUSFI30235533,9841509126,natasha401@yahoo.com,Natasha Mata,2025-04-16 23:33:42,activated
CUSAY14565328,918507208115,sheryl_gentry@yahoo.com,Sheryl Gentry,05-May-2025,activated
CUSQI62164834,94069 57252,dean691@rediffmail.com,Dean Holloway,05-Sep-2025,Activated
CUSDN61152589,8477873999,bruce.ortiz@gmail.com,Bruce Ortiz,2025-05-14 15:04:28,In Progress
CUSGQ23485618,+91 52603-81617,tracy.reilly@rediffmail.com,tracy reilly,10-Jan-2025,In Progress
CUSOO26748464,913854376730,melissa_ray@yahoo.com,Melissa Ray,12/02/2025,Activated
CUSIS73839597,+91-2848973051,jake_williams@yahoo.com,Jake Williams,2025-07-14,Lead
CUSKQ07386215,29940 11467,allison_bird@rediffmail.com ,allison bird,29-Sep-2025,Rejected
CUSWF75223565,+91 54106-75858,kari.poolerediffmail.com,Kari Poole,02-05-2026,ACTIVATED
CUSHX28007380,8288758795,stephanie_madden@outlook.com,Stephanie Madden,02/05/2026,Pending review
CUSMP32143803,+91 24195-46071,samuel_english@yahoo.com,Samuel English,2025-10-24 08:06:15,lead
CUSPS54944957,2463815129,willie_dodson@outlook.com,Willie Dodson,02-Apr-2025,ACTIVATED
CUSXU84929704,12976 76213,,Lori Jensen,23/04/2025,Activated
CUSUQ67024661,+91-2768747643,melissa717@outlook.com,  Melissa Macdonald  ,2026-05-13,Lead
CUSSD01116282,99039 70970,,Natalie Bishop,2026-02-06 13:46:03,ACTIVATED
CUSAJ18323953,+91-2393159105,lee.knapp@yahoo.com,lee knapp,08-Feb-2025,ACTIVATED
CUSWN92791600,3023850992,kelsey.salas@example.net,Kelsey Salas,15/04/2025,ACTIVATED
CUSHB57208024,49316 60816,ellen_lang@gmail.com,ELLEN LANG,2026-03-09 23:05:27,Activated
CUSYH68862194,8257269677,melissa412@example.net,melissa cervantes,2026-02-10,Activated
CUSMX06545259,94620 78562,edward_pham@rediffmail.com,EDWARD PHAM,09-13-2025,activated
CUSGW50700778,4501931158,shelia647@example.net,Shelia Tran,13-Jan-2026,LEAD
,,,Timothy Burch,2026-01-29,lead
CUSVW36664927,+91 66171-87894,ray924@example.net,RAY RAYMOND,2026-05-19 05:16:51,activated
CUSQN35242884,+91-3640566877,shelley_wilson@example.net,Shelley Wilson,2025-05-30 12:33:14,LEAD
CUSVK20440380,1585628585,shelley964@yahoo.com,Shelley Bowen,2025-09-11 10:57:10,In Progress
CUSKA37704990,65977 39610,krista980@gmail.com,Krista Castaneda,08-Sep-2025,Activated
CUSFM95843612,3482280857,isaac_fuentes@gmail.com,ISAAC FUENTES,08-May-2026,activated
CUSXN28326426,+91-0914176256,joseph.leblanc@rediffmail.com,Joseph Leblanc,25-Mar-2025,Activated
CUSAM36512201,+91-6472598568,karl.obrien@gmail.com,Karl Obrien,07-17-2025,activated
CUSBU27884593,25724 92598,isaac271@rediffmail.com,Isaac Saunders,05/01/2025,activated
CUSZX50963917,27256 62390,matthew.shelton@gmail.com,Matthew Shelton,2026-06-24 01:59:38,pending review
